Steps,Policy/GAIL Value Estimate,Policy/Entropy,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Losses/GAIL Loss,Policy/GAIL Policy Estimate,Policy/GAIL Expert Estimate,Losses/Pretraining Loss,Environment/Episode Length,Environment/Cumulative Reward,Policy/GAIL Reward,Is Training
20000,8.9408865,1.1685673,16.880001,0.103002265,0.00029775602,0.19925201,0.0009925949,0.99088985,0.31359437,0.6937279,0.07214141,799.0,19.8,331.21271481513975,1.0
30000,11.593985,1.0137248,13.29966,0.0974602,0.00029625598,0.198752,0.0009876448,0.89027226,0.309127,0.7161879,0.056974858,None,None,None,1.0
40000,14.402808,0.8689453,12.787163,0.09807184,0.00029474404,0.198248,0.0009826553,0.8751437,0.31939152,0.72075444,0.046304524,799.0,27.1,303.1983685016632,1.0
50000,17.120543,0.7240579,7.022083,0.10238352,0.0002932663,0.19775543,0.0009777789,0.812751,0.28629917,0.7317204,0.038731065,799.0,27.75,291.84096710681916,1.0
60000,19.657492,0.5956329,8.493309,0.100193344,0.000291744,0.197248,0.00097275525,0.81023264,0.27988324,0.72301376,0.03329769,None,None,None,1.0
70000,21.823214,0.47076792,4.331506,0.10034305,0.00029024915,0.1967497,0.0009678223,0.79615515,0.26895234,0.7248968,0.029303182,799.0,26.0,271.34576630592346,1.0
80000,22.708118,0.348415,2.1246078,0.099319875,0.00028876803,0.19625601,0.0009629345,0.7315713,0.23729312,0.7445674,0.026082315,799.0,14.947368421052632,228.8634924386677,1.0
90000,23.981886,0.23030584,4.704442,0.100391135,0.000287232,0.19574401,0.00095786573,0.757491,0.25677687,0.74139565,0.023578987,None,0.0,186.2579746246338,1.0
100000,25.448698,0.099497445,3.6974447,0.10642497,0.00028575602,0.19525202,0.0009529949,0.74190533,0.2522,0.748495,0.021683373,799.0,8.55,230.51624183654786,1.0
110000,25.64831,-0.018042302,4.8826294,0.09761972,0.00028425604,0.19475201,0.00094804494,0.72676563,0.24793494,0.7545594,0.020156384,None,None,None,1.0
120000,25.388683,-0.13001606,5.8289847,0.104179755,0.000282744,0.19424802,0.0009430553,0.7132354,0.24291638,0.7579516,0.018952932,799.0,6.65,233.0854517698288,1.0
130000,24.2714,-0.25038955,4.1876473,0.11066866,0.00028126632,0.19375542,0.0009381789,0.61593443,0.20840894,0.792962,0.017984863,799.0,4.0,202.0116432070732,1.0
